topic,proportion,timeStep
Topic-7,19,01/28/17:13:30:01
Topic-8,66,01/28/17:13:30:01
Topic-9,4,01/28/17:13:30:01
Topic-0,161,01/28/17:14:00:01
Topic-1,120,01/28/17:14:00:01
Topic-2,29,01/28/17:14:00:01
Topic-3,49,01/28/17:14:00:01
Topic-4,100,01/28/17:14:00:01
Topic-5,15,01/28/17:14:00:01
Topic-6,6,01/28/17:14:00:01
Topic-7,12,01/28/17:14:00:01
Topic-8,67,01/28/17:14:00:01
Topic-9,3,01/28/17:14:00:01
Topic-0,181,01/28/17:14:30:01
Topic-1,134,01/28/17:14:30:01
Topic-2,18,01/28/17:14:30:01
Topic-3,56,01/28/17:14:30:01
Topic-4,116,01/28/17:14:30:01
Topic-5,21,01/28/17:14:30:01
Topic-6,9,01/28/17:14:30:01
Topic-7,12,01/28/17:14:30:01
Topic-8,74,01/28/17:14:30:01
Topic-9,1,01/28/17:14:30:01
Topic-0,184,01/28/17:15:00:01
Topic-1,145,01/28/17:15:00:01
Topic-2,16,01/28/17:15:00:01
Topic-3,39,01/28/17:15:00:01
Topic-4,113,01/28/17:15:00:01
Topic-5,16,01/28/17:15:00:01
Topic-6,9,01/28/17:15:00:01
Topic-7,19,01/28/17:15:00:01
Topic-8,88,01/28/17:15:00:01
Topic-9,3,01/28/17:15:00:01
Topic-0,206,01/28/17:15:30:01
Topic-1,142,01/28/17:15:30:01
Topic-2,23,01/28/17:15:30:01
Topic-3,72,01/28/17:15:30:01
Topic-4,139,01/28/17:15:30:01
Topic-5,24,01/28/17:15:30:01
Topic-6,16,01/28/17:15:30:01
Topic-7,19,01/28/17:15:30:01
Topic-8,82,01/28/17:15:30:01
Topic-9,0,01/28/17:15:30:01
Topic-0,235,01/28/17:16:00:01
Topic-1,138,01/28/17:16:00:01
Topic-2,31,01/28/17:16:00:01
Topic-3,61,01/28/17:16:00:01
Topic-4,116,01/28/17:16:00:01
Topic-5,21,01/28/17:16:00:01
Topic-6,3,01/28/17:16:00:01
Topic-7,34,01/28/17:16:00:01
Topic-8,98,01/28/17:16:00:01
Topic-9,1,01/28/17:16:00:01
Topic-0,227,01/28/17:16:30:01
Topic-1,127,01/28/17:16:30:01
Topic-2,25,01/28/17:16:30:01
Topic-3,47,01/28/17:16:30:01
Topic-4,153,01/28/17:16:30:01
Topic-5,17,01/28/17:16:30:01
Topic-6,15,01/28/17:16:30:01
Topic-7,21,01/28/17:16:30:01
Topic-8,97,01/28/17:16:30:01
Topic-9,2,01/28/17:16:30:01
Topic-0,218,01/28/17:17:00:01
Topic-1,121,01/28/17:17:00:01
Topic-2,11,01/28/17:17:00:01
Topic-3,72,01/28/17:17:00:01
Topic-4,166,01/28/17:17:00:01
Topic-5,30,01/28/17:17:00:01
Topic-6,6,01/28/17:17:00:01
Topic-7,24,01/28/17:17:00:01
Topic-8,65,01/28/17:17:00:01
Topic-9,0,01/28/17:17:00:01
Topic-0,221,01/28/17:17:30:01
Topic-1,161,01/28/17:17:30:01
Topic-2,11,01/28/17:17:30:01
Topic-3,37,01/28/17:17:30:01
Topic-4,183,01/28/17:17:30:01
Topic-5,27,01/28/17:17:30:01
Topic-6,8,01/28/17:17:30:01
Topic-7,30,01/28/17:17:30:01
Topic-8,91,01/28/17:17:30:01
Topic-9,0,01/28/17:17:30:01
Topic-0,232,01/28/17:18:00:01
Topic-1,114,01/28/17:18:00:01
Topic-2,11,01/28/17:18:00:01
Topic-3,46,01/28/17:18:00:01
Topic-4,188,01/28/17:18:00:01
Topic-5,21,01/28/17:18:00:01
Topic-6,12,01/28/17:18:00:01
Topic-7,19,01/28/17:18:00:01
Topic-8,106,01/28/17:18:00:01
Topic-9,5,01/28/17:18:00:01
Topic-0,251,01/28/17:18:30:01
Topic-1,101,01/28/17:18:30:01
Topic-2,8,01/28/17:18:30:01
Topic-3,49,01/28/17:18:30:01
Topic-4,182,01/28/17:18:30:01
